customer_id,age,tenure,plan_type,monthly_usage,engagement_score,complaints,payment_delay,usage_volatility,shock_flag,treatment_flag,discount_percent,CLV,retention_cost,churn,time_to_churn
0,56,9,plus,58.356025387124795,0.2239580825810648,2,0.8200619136890261,0.40376749701217174,0,0,0,1052.5762452561085,96.86872530183506,0,15.212549795958452
1,69,37,plus,25.734064113127467,0.6422031336217232,0,0.5872944287767501,0.17435755896208627,0,0,0,1944.1529089010976,94.8163707128133,0,26.814105135386384
2,46,36,basic,65.10336486098072,0.4572680331479494,3,2.591957155795019,0.8551262727340943,0,1,10,4722.464298573569,94.27022270043884,0,62.293755761509004
3,32,28,basic,69.59454180072677,0.6670452821767769,1,3.5912961233119205,0.03358058651236684,0,0,0,3900.4091881216996,88.61050270596378,1,5.9907377897185174
4,60,42,plus,58.21182711469889,0.8155499845846039,1,0.01380405321922404,0.4836189187179786,0,0,0,4859.610306539042,79.07615383034346,0,52.55125503941266
5,25,43,plus,35.98167409577119,0.3980697278885842,0,1.7374224028177983,0.055477403803394165,0,0,0,3094.3553727464296,138.34848422410465,0,29.092641043493295
6,38,42,basic,45.109601922771446,0.6219596512040532,2,2.926365201966075,0.5366372383569379,0,0,0,3733.0720722069923,54.83392692102463,0,38.244347849239816
7,56,66,basic,67.74311743583348,0.48978976946165736,2,0.6428327354928027,0.4636492405098508,0,0,0,8885.65785605275,76.41398698439838,0,37.59054502028472
8,36,55,basic,35.32668719518402,0.8088034537719057,1,6.937022611325819,0.7801521946223596,0,1,30,3857.1551041217076,47.45704958507766,1,19.84868201824449
9,40,48,premium,59.429655616477866,0.50014328872297,0,2.3889454396933134,0.689675009452127,0,0,0,5639.447072827578,63.1930345478272,1,2.2080119572681105
10,28,22,plus,49.23841986090262,0.39899760016846963,3,1.2711825699644161,0.8439553630471188,0,0,0,2179.9838305231606,52.36773979201821,1,14.68753534746417
11,28,27,premium,52.402898742604584,0.5229720691198912,1,0.056556618414910886,0.5443465204955423,0,0,0,2865.9291620187137,107.06348186420661,0,18.466439238628283
